candidate_id,rank,score,reasoning
CAND_0025293,86,0.926917,"Data Scientist with 6.4 yrs; 4 AI core skills; strong Hugging Face Transformers assessment (41.8); caveats: 120-day notice period, slow response (~4d); Noida, Uttar Pradesh"
CAND_0076251,87,0.926868,"Search Engineer with 7.6 yrs; 9 AI core skills; strong Weaviate assessment (76.3); Bhubaneswar, Odisha"
CAND_0066791,88,0.926398,"Senior Software Engineer (ML) with 5.6 yrs; 8 AI core skills; strong LoRA assessment (84.3); caveats: 120-day notice period; Pune, Maharashtra"
CAND_0039983,89,0.92592,"Computer Vision Engineer with 6.6 yrs; 6 AI core skills; no assessment data; Delhi, Delhi"
CAND_0059795,90,0.925884,"Senior Software Engineer (ML) with 5.6 yrs; 5 AI core skills; best assessment GANs (68.2, not core-relevant); caveats: slow response (~5d); Mumbai, Maharashtra"
CAND_0031593,91,0.925621,"Search Engineer with 7.8 yrs; 7 AI core skills; strong Haystack assessment (63.8); caveats: 90-day notice period; Kolkata, West Bengal"
CAND_0052335,92,0.92558,Applied ML Engineer with 6.4 yrs; 8 AI core skills; no assessment data; Berlin
CAND_0060054,93,0.925375,"AI Engineer with 6.4 yrs; 7 AI core skills; strong TensorFlow assessment (89.9); Jaipur, Rajasthan"
CAND_0064888,94,0.925192,"ML Engineer with 5.8 yrs; 7 AI core skills; strong TensorFlow assessment (79.8); Vizag, Andhra Pradesh"
CAND_0039383,95,0.924949,"Applied ML Engineer with 7.1 yrs; 10 AI core skills; strong Hugging Face Transformers assessment (85.8); caveats: 90-day notice period; Gurgaon, Haryana"
CAND_0043637,96,0.924526,"Junior ML Engineer with 5.5 yrs; 5 AI core skills; strong Milvus assessment (64.9); Delhi, Delhi"
CAND_0084888,97,0.923987,"ML Engineer with 6.8 yrs; 8 AI core skills; strong Sentence Transformers assessment (57.4); caveats: 120-day notice period, slow response (~4d); Chennai, Tamil Nadu"
CAND_0071974,98,0.923859,"Senior AI Engineer with 7.8 yrs; 13 AI core skills; strong LoRA assessment (86.7); Vizag, Andhra Pradesh"
CAND_0079064,99,0.923643,"Senior Data Scientist with 5.2 yrs; 8 AI core skills; strong OpenSearch assessment (57.5); caveats: 120-day notice period; Noida, Uttar Pradesh"
CAND_0011125,100,0.923317,"Junior ML Engineer with 6.6 yrs; 8 AI core skills; strong Information Retrieval assessment (85.6); caveats: 120-day notice period; Bangalore, Karnataka"
